,title,moreInfo,systems,genres,playModes,themes,series,playerPerspectives,imageLink,memberRating,gameDescription
10,1080° Avalanche,https://www.igdb.com/games/1080-avalanche,Sixth Generation,Racing - Sport,Single player - Split screen,Action,1080 Snowboarding,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2eux.jpg,70,"1080° Avalanche is a snowboarding game for the Nintendo GameCube, developed by Nintendo's in-house development studio, NST, and published by Nintendo. Avalanche is a sequel to 1080° Snowboarding for the Nintendo 64. The game has an emphasis on racing, rather than doing tricks, in contrast to other popular snowboarding games, such as the SSX series. It can output in 480p and Dolby Pro Logic II and supports four players on one GameCube as well as LAN play with up to four GameCubes."
11,11-11: MEMORIES RETOLD,https://www.igdb.com/games/11-11-memories-retold,Eighth Generation,Adventure,Single player,Historical,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co28r9.jpg,74,"11th November 1916, a young photographer leaves Canada to join the western front in Europe.The same day, a German technician is told that his son is missing in action.Both want to preserve their humanity and come back alive to their loved ones."
12,Furi,https://www.igdb.com/games/furi,Eighth Generation,Adventure - Hack and slash/Beat 'em up - Indie - Shooter,Single player,Action - Science fiction,,Bird view / Isometric - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co27q3.jpg,79,"Fight your way free in our frenzied all-boss fighter, and discover what’s waiting behind the last gate. Furi is all about the tension of one-on-one fights against deadly adversaries. It’s an intense, ultra-responsive hack-and-slash with a unique mix of fast-paced sword fighting and dual-stick shooting. Each of the formidable guardians —designed by Afro Samurai creator Takashi Okazaki— has a unique and surprising combat style that requires focus and skill to defeat. The high-energy action gets a boost from an explosive soundtrack composed by electro musicians including Carpenter Brut, who created the trailer’s theme."
13,13 Sentinels: Aegis Rim,https://www.igdb.com/games/13-sentinels-aegis-rim,Eighth Generation,Adventure,Single player,Drama - Science fiction,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co2gjl.jpg,83,"""A departure from the studio’s traditional fantasy style, the game takes place in a modern setting punctuated with giant mechs. Although the world may be bleak, Vanillaware’s signature artistic shine and gorgeous aesthetics will bring the characters and story of 13 Sentinels to life."""
14,140,https://www.igdb.com/games/140,Eighth Generation,Indie - Music - Platform,Single player,Action,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co21sj.jpg,71,"140 is an indie 2D puzzle-platformer. It features minimalistic, blocky graphics and a excellent sound-track."
15,Anno 1701,https://www.igdb.com/games/anno-1701,Sixth Generation,Real Time Strategy (RTS) - Simulator - Strategy,Multiplayer - Single player,Historical,Anno,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co2dfp.jpg,77,"Anno is a real-time strategy video game series with business simulation and city building elements. It involves colony building and resource management on a series of small islands. It includes aspects of exploration, combat, diplomacy and trade"
16,18 Wheeler: American Pro Trucker,https://www.igdb.com/games/18-wheeler-american-pro-trucker,Second Generation,Racing,Single player - Split screen,Action,,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/qnsaacjt5efipcddqh5b.jpg,46,"The main purpose of the game is to make it to the finish line with the truck's cargo. Players are given a set amount of time, but can ram into special vans that will add three seconds to the timer. There are several characters to choose from, each with a unique truck and attributes.The game starts out in Key West and players travel across the United States, ending in San Francisco. After Stage 1, the game gives the player a choice of trailer. One trailer is harder to haul, but provides a bigger payoff while the other choice is easier to haul but provides a smaller payoff. Money is deducted from the total when the trailer is hit. Players can sound the truck's horn to make other cars on the road yield and slipstream behind large vehicles to gain a momentary speed boost.In addition to the time limit, players also compete with the ""Lizard Tail"", a rival trucker. Crossing the finish line before the Lizard Tail yields additional money. In between levels, players can park the truck in a mini game to earn more cash."
17,187 Ride or Die,https://www.igdb.com/games/187-ride-or-die,Sixth Generation,Racing - Shooter,Multiplayer - Single player - Split screen,Action,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/iu74ycnsbjyjjk5or7tb.jpg,48,"187 Ride or Die is a video game for the PlayStation 2 and Xbox, developed and published by Ubisoft. In order to become ""top dog"" of the game the player must race and defeat opponents through a variety of different stages all set in Los Angeles's infamous South Central region."
18,Ancestors: The Humankind Odyssey,https://www.igdb.com/games/ancestors-the-humankind-odyssey,Eighth Generation,Adventure - Indie - Role-playing (RPG),Single player,Action - Survival,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rg8.jpg,65,"Ancestors: The Humankind Odyssey is a third-person open world survival game where you explore, expand and evolve to advance your clan to the next generation. You relive the early story of mankind, but humanity is only one idea away from evolution or extinction."
19,1942: Joint Strike,https://www.igdb.com/games/1942-joint-strike,Seventh Generation,Shooter,Multiplayer - Single player,Action - Fantasy - Historical - Warfare,194x,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qgq.jpg,66,"1942: Joint Strike takes inspiration and influence from the 194X series of Capcom vertical shooters. The art, sound and gameplay give the players hints of the classic historical shoot-em-up franchise, but this entry stands out as its own entry in the franchise and utilizes a full 3D engine along the traditional 2D top-down perspective.The action takes place during an alternate timeline of World War II. Locales, vehicles and weapons have the same look and feel of the classic battleships and planes, but the battles over the Pacific were never this hot or this insane -- your single fighter will turn the tides of history, but only if you survive!"
20,1979 Revolution: Black Friday,https://www.igdb.com/games/1979-revolution-black-friday,Eighth Generation,Adventure - Indie,Single player,Action - Drama - Educational - Historical - Non-fiction - Warfare,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2839.jpg,71,"1979 Revolution, the action/adventure game, immerses players into the gritty, euphoric streets of revolution – where the choices you make may betray you. Set in the actual events of 1979 Iran.1979 Revolution’s story is told through the main character Reza, a young photojournalist in Tehran, during the electrifying early days of the revolution in 1978. Without political or religious motivation, Reza begins his heart of darkness journey into social upheaval. Surrounded by a group of impassioned key figures involved in overthrowing the regime – Reza’s engagement becomes a high stakes chess match of decision making – whereby everything is at risk."
21,198X,https://www.igdb.com/games/198x,Eighth Generation,Arcade - Indie,Single player,Action,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1m2h.jpg,70,"198X is not just a beat ’em up, a shoot ’em up, a racing game, a ninja game and an RPG. This is a love letter to the golden age of arcade games – yet with a scope that was never possible in the actual 1980s. It’s a story about finding yourself – and your self-confidence – in the world of video games. A coming-of-age story told through multiple game genres, worlds and characters. Feel the sensation of fighting, shooting, driving, jumping and role-playing – combined with emotional, cinematic storytelling.And what happens when the line between reality and game starts to blur…?"
22,2 Fast 4 Gnomz,https://www.igdb.com/games/2-fast-4-gnomz,Seventh Generation,Adventure - Platform,Single player,Action,Gnomz,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/difm9w4nwammlscznmvu.jpg,53,"""In this colorful arcade platform runner you will swoosh, spring, and swoop through over a hundred challenging courses. Think fast, tap faster – avoid devious traps, find the best route, and collect all the magical socks on your way to the finish line. Geki Yaba Runner tells a tale of the speedster gnomes on a quest to collect magic socks, save all the princesses, slay all the dragons, and… Well, that might just be a gnome fairytale, but the socks and the speed part is true, we swear! Answer the challenge of the magical kingdom, conquer the hardest racing tracks, laugh at danger (ha, ha!), and become the supreme gnomish speedster in Geki Yaba Runner, free on App Store and Google Play!"""
23,2002 FIFA World Cup,https://www.igdb.com/games/2002-fifa-world-cup,Fifth Generation,Sport,Multiplayer - Single player,Non-fiction,FIFA World Cup,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co2euz.jpg,67,"World Cup 2002 is the official game of the 17th FIFA World Cup, held in Korea and Japan between May 31 and June 30. It is based on the engine of FIFA Soccer 2002, so experienced Fifa players can get used for it quite fast.It is based on the 2002 World Cup - Korea and Japan, and includes all of the countries who promoted to the World Cup, and a lot more. Small statistics are shown for every country - their last biggest win, appearances at the World Cup, etc.The stadium and all players are really detailed. The player's texture's resolution is so high, you can easily recognize most of them. The stadium is big and impressive, and full of colored crowd.As in FIFA Soccer 2002, animation were taken from real players, with motion sensors. Thus, some new animation were added - new sliding, falling, and more.And the newest feature of 2002 FIFA World Cup, is the air ball control model. You can take balls from the air, and have much more control with them - creating great goals from the air."
24,2006 FIFA World Cup,https://www.igdb.com/games/2006-fifa-world-cup,Fifth Generation,Sport,Multiplayer - Single player - Split screen,Action,FIFA World Cup,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/bnjvblaspmevz4uhuapq.jpg,85,"Celebrating the 2006 FIFA World Cup Germany - the world's largest sporting event - 2006 FIFA World Cup brings you to the games with the world's superstar players, 12 official stadiums that will be used at 2006 FIFA World Cup Germany and stadiums from each qualifying region. Gamers can play as their favorite team from qualification right through to a virtual reproduction of the tournament in Germany.In addition to enabling gamers to participate in the 2006 FIFA World Cup Germany by taking control of one of 127 national teams, the game features new compelling modes of play, including the Global Challenge that recreates classic moments in FIFA World Cup history. Furthermore, the game supports up to eight-way multiplayer matches and boasts a plethora of in-game unlockable content such as legendary players and exclusive apparel."
25,2010 FIFA World Cup South Africa,https://www.igdb.com/games/2010-fifa-world-cup-south-africa,Fifth Generation,Simulator - Sport,Single player - Split screen,Action - Non-fiction,FIFA World Cup,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co20kr.jpg,88,"EA SPORTS 2010 FIFA World Cup South Africa will feature all the emotion and passion of the fiercest national rivalries battling on the world's biggest stage, with all 199 national teams that took part in qualification, all 10 official licensed stadiums to be used in South Africa and stadiums from each qualifying region. Gamers will be able to play as their home nation from qualification right through to a virtual reproduction of the FIFA World Cup Final and feel what it is like to score the goal that lifts a nation. Everything fans love about the World Cup will come to life in spectacular detail, including confetti rain, streamers, & fireworks--just like the official tournament.Players choose a team from the 199 nations available and compete against the computer or against other players through online gaming services PlayStation Network or Xbox Live. All 10 official World Cup stadiums are available for play.EA has announced that there will be gameplay improvements over FIFA 10, such as a higher rate of player fatigue for matches at higher altitudes, with an advantage to a home team who plays at a higher altitude against an away team who does not. EA has also announced that players can get injured outside of international matches."
26,2014 FIFA World Cup Brazil,https://www.igdb.com/games/2014-fifa-world-cup-brazil,Seventh Generation,Sport,Multiplayer - Single player - Split screen,,FIFA World Cup,Bird view / Isometric - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/lu8auuzna0umyezck32z.jpg,76,"Lead your country to World Cup glory while experiencing all the fun, excitement, and drama of Football's greatest event."
27,Read Only Memories,https://www.igdb.com/games/read-only-memories,Eighth Generation,Adventure - Indie - Point-and-click - Visual Novel,Single player,,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1tvn.jpg,83,"In Neo-San Francisco, a vibrant city of low life and high tech, you will witness the world’s first sapient robot learning to grow and live as you become embroiled in the darkest scandal of 2064."
28,20XX,https://www.igdb.com/games/20xx,Eighth Generation,Indie - Platform - Shooter,Co-operative - Multiplayer - Single player,Action - Science fiction,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co22jc.jpg,75,"20XX is a co-op-friendly action platformer roguelite. Explore procedurally generated levels, collect new weapons and abilities, purchase upgrades, and crush ferocious bosses! If you are a fan of roguelikes or Mega Man, 20XX is for you!"
29,24: The Game,https://www.igdb.com/games/24-the-game,Sixth Generation,Adventure - Shooter,Single player,Action,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/kvcukeyrsvm2njkkaksa.jpg,65,"CTU is investigating a series of terrorist attacks in the Los Angeles area ranging from an assassination attempt on the vice president to the kidnapping of the chairman of a highly profitable corporation. CTU identifies Peter Madsen, a former employee of Jack Bauer, as the leader of the terrorist cell responsible for the attacks on Los Angeles. What remains unknown to CTU is that the attacks have been arranged by an old enemy who plans on smuggling nuclear weapons into the hands of Middle Eastern terrorist networks. Jack Bauer must shoot, drive, and interrogate his way to the truth behind the attacks."
30,25 To Life,https://www.igdb.com/games/25-to-life,Sixth Generation,Shooter,Multiplayer - Single player - Split screen,Action,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1mye.jpg,100,"25 To Life is a third-person shooter video game. Set in a modern environment, the game allows the player to play as both a cop and a gangster, at different times, in a ""cops and robbers"" style game. The game can be played online with up to 16 players using the network adaptor for the PS2 and through Xbox Live for Microsoft's Xbox, and there is online play for the PC version as well. In addition, the game features a variety of hip hop songs playing in the background. The name of the game comes from a typical ""indeterminate life sentence"" that is often given in the United States upon a defendant's conviction for a violent felony. See the article on parole for more information."
31,2Dark,https://www.igdb.com/games/2dark,Eighth Generation,Adventure - Indie,Single player,Action - Horror - Stealth,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co22je.jpg,59,"From Frédérick Raynal, the creator of Alone in the Dark and pioneer of survival-horror, 2Dark is a grim journey of stealth and courage into the heart of corruption. Plagued by a string of child abductions, darkness hangs over the once-picturesque city of Gloomywood like a curse. As former detective Mr. Smith, use your cunning to infiltrate six bastions of cruelty. Uncover the secrets of the deranged psychopaths within, seek retribution for their crimes, and bring the children to safety."
32,39 Days to Mars,https://www.igdb.com/games/39-days-to-mars,Eighth Generation,Adventure - Indie - Puzzle,Co-operative - Multiplayer - Single player,Action,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ix8.jpg,70,"39 Days to Mars is a co-operative (and single-player) steampunk puzzle-adventure game.Step into the shoes of Sir Albert Wickes and The Right Honourable Clarence Baxter, two 19th century explorers who have chosen to pilot the HMS Fearful on its maiden voyage to Mars.When the steam engine runs out of coal, the ship's cat shreds the navigation chart, and the tea gets cold, it becomes clear that interstellar transportation isn't a walk in the park. It will take the talents of two players working together on the problems that arise to get to Mars in one piece."
33,3D Dot Game Heroes,https://www.igdb.com/games/3d-dot-game-heroes,Seventh Generation,Adventure - Role-playing (RPG),Single player,Action,,Bird view / Isometric - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1uui.jpg,74,"3D Dot Game Heroes is an action adventure title paying a strong homage to 8bit adventure games such as The Legend of Zelda and Final Fantasy Adventures.The game uses a unique style, presenting 2D retro-style graphics in a 3D environment using voxels"
34,3D Ultra Minigolf Adventures,https://www.igdb.com/games/3d-ultra-minigolf-adventures,Seventh Generation,Sport,Multiplayer - Single player - Split screen,Kids,,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/t6vmip9iqzou6pvmvmws.jpg,50,"Whether you're a seasoned player or just a beginner, get ready to tee off for a quick and fun match with four animated stylish characters. Putt your way through 36 fun-filled holes of minigolf on 3D designed courses with elevated greens, bunkers, bridges and water hazards, among other crazy obstacles."
35,Ni no Kuni: Wrath of the White Witch,https://www.igdb.com/games/ni-no-kuni-wrath-of-the-white-witch,Seventh Generation,Adventure - Role-playing (RPG),Single player,Action - Fantasy - Kids - Open world,Ni no Kuni,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rbw.jpg,84,"""Ni no Kuni: Wrath of the White Witch, a heart-warming tale of a young boy named Oliver, who embarks on a journey into a parallel world in an attempt to bring his mother back from the dead. Along the way, Oliver makes new friends and adopts many of the wonderful creatures that inhabit the world, raising them to battle other creatures on his behalf as he takes on formidable enemies. Developed by LEVEL-5 alongside Studio Ghibli, the legendary animation studio, Ni no Kuni: Wrath of the White Witch combines beautiful animated visuals, masterful storytelling and a sweeping score into an epic role-playing adventure like no other.""Ni no Kuni: Wrath of the White Witch is an enhanced version of the Nintendo DS game Ni no Kuni: Dominion of the Dark Djin that was only released in Japan."
36,NBA Street Vol. 2,https://www.igdb.com/games/nba-street-vol-2,Sixth Generation,Adventure - Sport,Single player - Split screen,,NBA Street,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2etl.jpg,85,"NBA Street Vol. 2 is a basketball video game, published by EA Sports BIG and developed by EA Canada. It is the sequel to NBA Street and the second game in the NBA Street series. It was released on April 28, 2003 for the PlayStation 2, GameCube, and, for the first time in the series, on the Xbox. Japan was only able to see a PlayStation 2 release of this game. The GameCube version was also planned to be released in that region, but it was canceled for unknown reasons."
37,428: Shibuya Scramble,https://www.igdb.com/games/428-shibuya-scramble,Fifth Generation,Adventure - Visual Novel,Single player,Drama - Mystery,,Text,https://images.igdb.com/igdb/image/upload/t_cover_big/co28rd.jpg,83,"A kidnapping on the streets of Shibuya brings together a hot-blooded detective, hard-hitting journalist, former gang leader, the head researcher of a big pharma manufacturer and a part-timer stuck in cat costume for a series of events each more unexpected and outrageous than the last."
38,4x4 EVO 2,https://www.igdb.com/games/4x4-evo-2,Sixth Generation,Racing - Simulator - Sport,Single player - Split screen,,4x4 Evolution,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/ngsig1cpqojn1apghloz.jpg,46,"Professional drivers get paid by winning races and in career mode so do you. Win fast money and deck out your truck from over 125 upgrades like performance shocks, race tires, brush guards, roll bars, snorkels, working winches and performance exhaust to increase vehicle power and speed."
39,4x4 EVO 2,https://www.igdb.com/games/4x4-evo-2,Sixth Generation,Racing - Simulator - Sport,Single player - Split screen,,4x4 Evolution,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/ngsig1cpqojn1apghloz.jpg,46,"Professional drivers get paid by winning races and in career mode so do you. Win fast money and deck out your truck from over 125 upgrades like performance shocks, race tires, brush guards, roll bars, snorkels, working winches and performance exhaust to increase vehicle power and speed."
40,4x4 Evolution,https://www.igdb.com/games/4x4-evolution,Sixth Generation,Racing,Multiplayer - Single player,,4x4 Evolution,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co292q.jpg,80,"4x4 Evolution is a racing game featuring real-life pickup trucks and SUV's. Actual trucks from manufacturers such as Chevrolet, Ford, Dodge, Nissan, Toyota and more are included.The actual racing game is based very heavily on Terminal Reality's Monster Truck Madness series of games, except with SUV's instead of monster trucks.One significant feature of 4x4 Evo is the online multi-player option. The Dreamcast, PC, and Macintosh versions can compete against each other in 4 player online races."
41,50 Cent: Blood on the Sand,https://www.igdb.com/games/50-cent-blood-on-the-sand,Seventh Generation,Shooter,Co-operative - Multiplayer - Single player,Action,50 Cent,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co25gw.jpg,61,"The game revolves around rapper 50 Cent. The co-player's character can be one of three other members of the G-Unit crew: Tony Yayo, Lloyd Banks, or DJ Whoo Kid, each specializing in different combat techniques. The co-player is either run by the game or through online cooperative play.The game is set in an urban warzone in an unnamed Middle Eastern country, where 50 Cent and G-Unit have been hired to play a rap concert. After the concert the promoter, Anwar is unable to pay them the US $10-million in cash he promised, but relents after being threatened. However, instead of the cash they were promised, he gives them a diamond-and-pearl encrusted human skull (bearing a striking resemblance to a platinum cast diamond encrusted skull by artist Damien Hirst) as collateral. This is promptly stolen by a paramilitary group led by the terrorist Kamal. 50 Cent (with the help of a selected G-Unit partner) decides to get it back at any cost and soon, they find out that there is a much bigger enemy than Kamal.In the video game, he kills Kamal, Anwar and his enemies and he retrieves his skull."
42,50 Cent: Bulletproof,https://www.igdb.com/games/50-cent-bulletproof,Fifth Generation,Shooter,Multiplayer - Single player,Action,50 Cent,Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/lket5vrtith5ugw7t2cb.jpg,45,"50 Cent: Bulletproof is a video game for the PlayStation 2 and Xbox consoles. 50 Cent: Bulletproof was reworked into a PlayStation Portable version and titled 50 Cent: Bulletproof G Unit Edition, with a top-down perspective. A sequel, 50 Cent: Blood on the Sand, was released on February 24, 2009 for PlayStation 3 and Xbox 360.The story revolves around protagonist hip hop musician 50 Cent's search for vengeance against the hitmen who attempted to murder him. The game features members of the G-Unit rap crew as a gang. Dr. Dre plays an arms dealer, Eminem plays a corrupt police officer, and DJ Whoo Kid plays himself as a person selling ""bootlegged"" music (of the G-Unit camp) out of his trunk. A soundtrack album titled, Bulletproof, was released by DJ Red Heat's Shadyville Entertainment. It won ""Best Original Song"" in the 2005 Spike TV Video Game Awards."
43,7 Days to Die,https://www.igdb.com/games/7-days-to-die,Eighth Generation,Adventure - Role-playing (RPG) - Shooter,Co-operative - Multiplayer - Single player - Split screen,Action - Horror - Sandbox - Survival,,First person - Third person - Virtual Reality,https://images.igdb.com/igdb/image/upload/t_cover_big/co1mpm.jpg,36,"Building on survivalist and horror themes, players in 7 Days to Die can scavenge the abandoned cities of the buildable and destructable voxel world for supplies or explore the wilderness to gather raw materials to build their own tools, weapons, traps, fortifications and shelters. The horror (zombies) element makes up a large part of the game, including building and the fully destructible (voxel) environment - everything is built from blocks, similar to Minecraft, yet creating a very smooth look.With steady updates (but slow, avg. 2 major updates / year, with several minor ones in-between, mostly bug fixes) the game has steadily advanced and continues to advance in terms of graphics but even more so and more importantly, gameplay, having changed from being a mostly simple shooter and focused on elaborate crafting (changed with Alpha 12), to a full RPG experience, with Alpha 15 having introduced NPCs (traders only) and an extensive skill system and Alpha 17 introduced this as a categorized (traits-like) system.The game now also has an extensive traps, automated turrets via an electricity tier, plus a whole assortment of usable single- and multi-seating vehicles (manual and motor bikes, cars, gyrocopter) introduced in Alpha 17.The game can be played single-player (SP), multi-player (MP), co-op / PvE and PvP; game servers can be run either via the game client, or as a dedicated server with extensive configurability and number of modifications possible, including custom blocks and sounds, plus an event system, which created an active ""modding"" community and allows to experience the game in many different ways that were initially not intended."
